Day,Predicted Close
Day 1,260.0424057781735
Day 2,260.1222548767293
Day 3,260.19961859581
Day 4,260.27457429522616
Day 5,260.34719692689026
Day 6,260.41755910976497
Day 7,260.48573120247835
