Day,Predicted Close
Day 1,1455.412174067749
Day 2,1457.9623928728367
Day 3,1460.4521724037597
Day 4,1462.882945049713
Day 5,1465.2561092527797
Day 6,1467.5730303124653
Day 7,1469.8350411711656
Day 8,1472.0434431810172
Day 9,1474.1995068525766
Day 10,1476.3044725857544
Day 11,1478.3595513834264
Day 12,1480.3659255481332
Day 13,1482.3247493622678
Day 14,1484.2371497521428
