Day,Predicted Close
Day 1,200.22109191894532
Day 2,193.90083610534668
Day 3,193.40778133392334
Day 4,193.29985038757323
Day 5,193.1182921218872
Day 6,193.11359413146974
Day 7,193.11359413146974
