Day,Predicted Close
Day 1,191.40342712402344
Day 2,188.08145141601562
Day 3,185.18724060058594
Day 4,184.33343505859375
Day 5,183.2174072265625
Day 6,183.2174072265625
Day 7,183.2174072265625
